id,name,owner,celestialBodies
aec3e84c-1c5c-4065-a7f3-7f32c711d420,Solar, ,51cafbb6-e909-4851-8f14-d1994fdcc500&Sun&1&156&sun&695700&1410000000000000000&1988500000000000000000000000000&274&1997&0&15700000|73411e26-8750-43b5-860e-aa5c7e0cc087&Mercury&1&56&planet&2.439&60830000000&330110000000000000000000&0.0037&10892&47.36&340.15|a09a2066-6bfa-4abc-9b74-66a81157c7b2&Mars&1&56&planet&3389.5&163100000000&641710000000000000000000&3.720&0.241&24.07&213.15|9788e1d4-9ac9-48ba-b221-315ca690ee0d&Earth&1&23&planet&6371&1083210000000&5972370000000000000000000&9806&0.4651&29.78&287.15|a09a2066-6bfa-4abc-9b74-66a81157c7b2&Mars&1&56&planet&3389.5&163100000000&641710000000000000000000&3.720&0.241&24.07&213.15|42353345-4b6f-45bf-9b17-861c03026780&Jupiter&1&45&gasGiant&71492&1431300000000000&1898200000000000000000000000&24.79&12.6&13.07&165|a76591a2-9ae6-4ad7-98fd-5c2bec467d49&Uranus&1&87&planet&25.362&68330000000000&86810000000000000000000000&0.00869&2.59&6.80&76|cd376fad-4f4e-4652-bf1a-a00da8154714&Neptune&1&75&planet&24.622&62530000000000&102400000000000000000000000&0.01115&2.68&5.43&72|47fcdc12-6fbb-4f3c-b7d2-745f7973996a&Pluto&1&20&dwarfPlanet&118803&7057000000&13030000000000000000000&0.00062&47.18&4.743&44
e4ab88aa-5192-4fe6-8b8b-ea4fdf353104,Stellar, ,51cafbb6-e909-4851-8f14-d1994fdcc500&Sun&1&156&sun&695700&1410000000000000000&1988500000000000000000000000000&274&1997&0&15700000|7a1a8a9a-03e4-4d73-8a35-57eff2c8ae1f&Pallas&1&5&asteroid&257&71000000&204000000000000000000&0.00021&0.00065&17.65&2.73|47fcdc12-6fbb-4f3c-b7d2-745f7973996a&Pluto&1&20&dwarfPlanet&118803&7057000000&13030000000000000000000&0.00062&47.18&4.743&44|a09a2066-6bfa-4abc-9b74-66a81157c7b2&Mars&1&56&planet&3389.5&163100000000&641710000000000000000000&3.720&0.241&24.07&213.15|9788e1d4-9ac9-48ba-b221-315ca690ee0d&Earth&1&23&planet&6371&1083210000000&5972370000000000000000000&9806&0.4651&29.78&287.15
3db942e1-6a3a-4c3a-837a-7d25c25f4e5a,Frontier, ,51cafbb6-e909-4851-8f14-d1994fdcc500&Sun&1&156&sun&695700&1410000000000000000&1988500000000000000000000000000&274&1997&0&15700000|cd376fad-4f4e-4652-bf1a-a00da8154714&Neptune&1&75&planet&24.622&62530000000000&102400000000000000000000000&0.01115&2.68&5.43&72|7a1a8a9a-03e4-4d73-8a35-57eff2c8ae1f&Pallas&1&5&asteroid&257&71000000&204000000000000000000&0.00021&0.00065&17.65&2.73|73411e26-8750-43b5-860e-aa5c7e0cc087&Mercury&1&56&planet&2.439&60830000000&330110000000000000000000&0.0037&10892&47.36&340.15|a09a2066-6bfa-4abc-9b74-66a81157c7b2&Mars&1&56&planet&3389.5&163100000000&641710000000000000000000&3.720&0.241&24.07&213.15
406987e6-0e61-466f-b69a-bbe5faa7c8ab,Endeavour, ,51cafbb6-e909-4851-8f14-d1994fdcc500&Sun&1&156&sun&695700&1410000000000000000&1988500000000000000000000000000&274&1997&0&15700000|cd376fad-4f4e-4652-bf1a-a00da8154714&Neptune&1&75&planet&24.622&62530000000000&102400000000000000000000000&0.01115&2.68&5.43&72|47fcdc12-6fbb-4f3c-b7d2-745f7973996a&Pluto&1&20&dwarfPlanet&118803&7057000000&13030000000000000000000&0.00062&47.18&4.743&44
4842850f-fc11-4659-a6d1-c3e1c49b59df,Cosmic, ,51cafbb6-e909-4851-8f14-d1994fdcc500&Sun&1&156&sun&695700&1410000000000000000&1988500000000000000000000000000&274&1997&0&15700000|a09a2066-6bfa-4abc-9b74-66a81157c7b2&Mars&1&56&planet&3389.5&163100000000&641710000000000000000000&3.720&0.241&24.07&213.15|a76591a2-9ae6-4ad7-98fd-5c2bec467d49&Uranus&1&87&planet&25.362&68330000000000&86810000000000000000000000&0.00869&2.59&6.80&76|cd376fad-4f4e-4652-bf1a-a00da8154714&Neptune&1&75&planet&24.622&62530000000000&102400000000000000000000000&0.01115&2.68&5.43&72|7a1a8a9a-03e4-4d73-8a35-57eff2c8ae1f&Pallas&1&5&asteroid&257&71000000&204000000000000000000&0.00021&0.00065&17.65&2.73|a76591a2-9ae6-4ad7-98fd-5c2bec467d49&Uranus&1&87&planet&25.362&68330000000000&86810000000000000000000000&0.00869&2.59&6.80&76
bf6f3562-eb24-44f5-b282-1ebc26122100,Galactic, ,51cafbb6-e909-4851-8f14-d1994fdcc500&Sun&1&156&sun&695700&1410000000000000000&1988500000000000000000000000000&274&1997&0&15700000|7a1a8a9a-03e4-4d73-8a35-57eff2c8ae1f&Pallas&1&5&asteroid&257&71000000&204000000000000000000&0.00021&0.00065&17.65&2.73|a09a2066-6bfa-4abc-9b74-66a81157c7b2&Mars&1&56&planet&3389.5&163100000000&641710000000000000000000&3.720&0.241&24.07&213.15|47fcdc12-6fbb-4f3c-b7d2-745f7973996a&Pluto&1&20&dwarfPlanet&118803&7057000000&13030000000000000000000&0.00062&47.18&4.743&44|42353345-4b6f-45bf-9b17-861c03026780&Jupiter&1&45&gasGiant&71492&1431300000000000&1898200000000000000000000000&24.79&12.6&13.07&165
b08d4cb0-deeb-4815-9eb6-97b4d9ab0775,Space, ,51cafbb6-e909-4851-8f14-d1994fdcc500&Sun&1&156&sun&695700&1410000000000000000&1988500000000000000000000000000&274&1997&0&15700000|a76591a2-9ae6-4ad7-98fd-5c2bec467d49&Uranus&1&87&planet&25.362&68330000000000&86810000000000000000000000&0.00869&2.59&6.80&76|cd376fad-4f4e-4652-bf1a-a00da8154714&Neptune&1&75&planet&24.622&62530000000000&102400000000000000000000000&0.01115&2.68&5.43&72|73411e26-8750-43b5-860e-aa5c7e0cc087&Mercury&1&56&planet&2.439&60830000000&330110000000000000000000&0.0037&10892&47.36&340.15|a76591a2-9ae6-4ad7-98fd-5c2bec467d49&Uranus&1&87&planet&25.362&68330000000000&86810000000000000000000000&0.00869&2.59&6.80&76
ddc5a0fd-faaf-42c3-9c0b-ef77123ba0d5,Dream, ,51cafbb6-e909-4851-8f14-d1994fdcc500&Sun&1&156&sun&695700&1410000000000000000&1988500000000000000000000000000&274&1997&0&15700000|a09a2066-6bfa-4abc-9b74-66a81157c7b2&Mars&1&56&planet&3389.5&163100000000&641710000000000000000000&3.720&0.241&24.07&213.15|42353345-4b6f-45bf-9b17-861c03026780&Jupiter&1&45&gasGiant&71492&1431300000000000&1898200000000000000000000000&24.79&12.6&13.07&165|9788e1d4-9ac9-48ba-b221-315ca690ee0d&Earth&1&23&planet&6371&1083210000000&5972370000000000000000000&9806&0.4651&29.78&287.15|42353345-4b6f-45bf-9b17-861c03026780&Jupiter&1&45&gasGiant&71492&1431300000000000&1898200000000000000000000000&24.79&12.6&13.07&165|7a1a8a9a-03e4-4d73-8a35-57eff2c8ae1f&Pallas&1&5&asteroid&257&71000000&204000000000000000000&0.00021&0.00065&17.65&2.73
9cfba776-2be0-4441-b3b2-27f3496fc602,Nebular, ,51cafbb6-e909-4851-8f14-d1994fdcc500&Sun&1&156&sun&695700&1410000000000000000&1988500000000000000000000000000&274&1997&0&15700000|a09a2066-6bfa-4abc-9b74-66a81157c7b2&Mars&1&56&planet&3389.5&163100000000&641710000000000000000000&3.720&0.241&24.07&213.15
707d4668-58b5-41d6-a3fe-77c71d6b9fe8,Foresight, ,51cafbb6-e909-4851-8f14-d1994fdcc500&Sun&1&156&sun&695700&1410000000000000000&1988500000000000000000000000000&274&1997&0&15700000|73411e26-8750-43b5-860e-aa5c7e0cc087&Mercury&1&56&planet&2.439&60830000000&330110000000000000000000&0.0037&10892&47.36&340.15|cd376fad-4f4e-4652-bf1a-a00da8154714&Neptune&1&75&planet&24.622&62530000000000&102400000000000000000000000&0.01115&2.68&5.43&72|9788e1d4-9ac9-48ba-b221-315ca690ee0d&Earth&1&23&planet&6371&1083210000000&5972370000000000000000000&9806&0.4651&29.78&287.15
